NOGRID,LON,LAT,b20,b50,b100,b150,a20,a50,a100,a150,a200,a300
150569,117.45,-8.9,5.8824,21.5686,60.7843,76.4706,94.1176,78.4314,39.2157,23.5294,5.8824,0
150905,117.5,-8.9,5.8824,19.6078,56.8627,70.5882,94.1176,80.3922,43.1373,29.4118,5.8824,0
151241,117.55,-8.9,5.8824,21.5686,56.8627,70.5882,94.1176,78.4314,43.1373,29.4118,5.8824,0
151577,117.6,-8.9,3.9216,19.6078,56.8627,68.6275,96.0784,80.3922,43.1373,31.3725,7.8431,0
151913,117.65,-8.9,3.9216,19.6078,56.8627,68.6275,96.0784,80.3922,43.1373,31.3725,7.8431,0
152249,117.7,-8.9,3.9216,19.6078,58.8235,68.6275,96.0784,80.3922,41.1765,31.3725,7.8431,1.9608
152585,117.75,-8.9,3.9216,21.5686,58.8235,70.5882,96.0784,78.4314,41.1765,29.4118,7.8431,1.9608
152921,117.8,-8.9,3.9216,21.5686,58.8235,70.5882,96.0784,78.4314,41.1765,29.4118,7.8431,1.9608
153257,117.85,-8.9,3.9216,21.5686,58.8235,70.5882,96.0784,78.4314,41.1765,29.4118,7.8431,1.9608
153593,117.9,-8.9,3.9216,21.5686,58.8235,70.5882,96.0784,78.4314,41.1765,29.4118,7.8431,1.9608
140490,115.95,-8.85,7.8431,21.5686,56.8627,72.549,92.1569,78.4314,43.1373,27.451,7.8431,0
140826,116,-8.85,7.8431,21.5686,54.902,72.549,92.1569,78.4314,45.098,27.451,7.8431,0
141162,116.05,-8.85,5.8824,21.5686,54.902,70.5882,94.1176,78.4314,45.098,29.4118,13.7255,0
141498,116.1,-8.85,5.8824,19.6078,54.902,68.6275,94.1176,80.3922,45.098,31.3725,13.7255,0
141834,116.15,-8.85,5.8824,17.6471,52.9412,68.6275,94.1176,82.3529,47.0588,31.3725,13.7255,0
142170,116.2,-8.85,5.8824,17.6471,52.9412,68.6275,94.1176,82.3529,47.0588,31.3725,13.7255,0
142506,116.25,-8.85,5.8824,17.6471,52.9412,70.5882,94.1176,82.3529,47.0588,29.4118,13.7255,0
142842,116.3,-8.85,5.8824,17.6471,50.9804,70.5882,94.1176,82.3529,49.0196,29.4118,13.7255,0
143178,116.35,-8.85,5.8824,17.6471,50.9804,70.5882,94.1176,82.3529,49.0196,29.4118,13.7255,0
143514,116.4,-8.85,5.8824,17.6471,52.9412,70.5882,94.1176,82.3529,47.0588,29.4118,9.8039,0
146202,116.8,-8.85,5.8824,39.2157,68.6275,92.1569,94.1176,60.7843,31.3725,7.8431,0,0
146538,116.85,-8.85,5.8824,41.1765,66.6667,92.1569,94.1176,58.8235,33.3333,7.8431,0,0
146874,116.9,-8.85,5.8824,41.1765,66.6667,92.1569,94.1176,58.8235,33.3333,7.8431,0,0
147210,116.95,-8.85,5.8824,39.2157,66.6667,92.1569,94.1176,60.7843,33.3333,7.8431,0,0
147546,117,-8.85,5.8824,41.1765,64.7059,92.1569,94.1176,58.8235,35.2941,7.8431,0,0
147882,117.05,-8.85,5.8824,41.1765,64.7059,92.1569,94.1176,58.8235,35.2941,7.8431,0,0
148218,117.1,-8.85,5.8824,41.1765,64.7059,92.1569,94.1176,58.8235,35.2941,7.8431,0,0
148554,117.15,-8.85,5.8824,37.2549,64.7059,92.1569,94.1176,62.7451,35.2941,7.8431,0,0
148890,117.2,-8.85,5.8824,29.4118,64.7059,92.1569,94.1176,70.5882,35.2941,7.8431,0,0
149226,117.25,-8.85,5.8824,29.4118,64.7059,88.2353,94.1176,70.5882,35.2941,11.7647,1.9608,0
149562,117.3,-8.85,5.8824,25.4902,64.7059,84.3137,94.1176,74.5098,35.2941,15.6863,1.9608,0
149898,117.35,-8.85,5.8824,23.5294,62.7451,84.3137,94.1176,76.4706,37.2549,15.6863,1.9608,0
150234,117.4,-8.85,5.8824,21.5686,60.7843,84.3137,94.1176,78.4314,39.2157,15.6863,1.9608,0
150570,117.45,-8.85,5.8824,19.6078,60.7843,78.4314,94.1176,80.3922,39.2157,21.5686,5.8824,0
150906,117.5,-8.85,3.9216,19.6078,56.8627,70.5882,96.0784,80.3922,43.1373,29.4118,5.8824,0
151242,117.55,-8.85,3.9216,17.6471,54.902,68.6275,96.0784,82.3529,45.098,31.3725,7.8431,0
151578,117.6,-8.85,3.9216,15.6863,54.902,68.6275,96.0784,84.3137,45.098,31.3725,7.8431,1.9608
151914,117.65,-8.85,3.9216,15.6863,54.902,68.6275,96.0784,84.3137,45.098,31.3725,13.7255,1.9608
152250,117.7,-8.85,3.9216,15.6863,50.9804,68.6275,96.0784,84.3137,49.0196,31.3725,13.7255,1.9608
152586,117.75,-8.85,3.9216,11.7647,50.9804,68.6275,96.0784,88.2353,49.0196,31.3725,15.6863,1.9608
152922,117.8,-8.85,3.9216,11.7647,49.0196,68.6275,96.0784,88.2353,50.9804,31.3725,15.6863,1.9608
153258,117.85,-8.85,3.9216,15.6863,49.0196,70.5882,96.0784,84.3137,50.9804,29.4118,13.7255,1.9608
